<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1993.04.28	1.27600	1.28100	1.26830	1.26900	1841	0	5
1993.04.29	1.27150	1.27400	1.26870	1.27150	1061	0	50
1993.04.30	1.27150	1.27500	1.26930	1.27110	1101	0	50
1993.05.03	1.26950	1.27050	1.26700	1.26750	501	0	50
1993.05.04	1.26680	1.27320	1.26580	1.27100	1061	0	50
1993.05.05	1.27050	1.27660	1.27050	1.27200	1071	0	50
1993.05.06	1.27330	1.27400	1.26830	1.26880	691	0	50
1993.05.07	1.26840	1.27480	1.26730	1.26900	1441	0	50
1993.05.10	1.26800	1.27010	1.26600	1.27010	611	0	50
1993.05.11	1.27080	1.27580	1.27080	1.27460	621	0	50
1993.05.12	1.27500	1.27850	1.27300	1.27350	951	0	50
1993.05.13	1.27350	1.27460	1.27050	1.27310	781	0	50
1993.05.14	1.27320	1.27500	1.26900	1.27440	1081	0	50
1993.05.17	1.27380	1.27750	1.27340	1.27620	581	0	50
1993.05.18	1.27550	1.27850	1.26710	1.26850	1581	0	50
1993.05.19	1.26730	1.26970	1.26300	1.26400	1011	0	50
1993.05.20	1.26360	1.26900	1.26350	1.26790	671	0	50
1993.05.21	1.26900	1.26950	1.26350	1.26430	731	0	50
1993.05.24	1.26350	1.26700	1.26030	1.26090	1081	0	50
1993.05.25	1.26020	1.26300	1.25890	1.26050	791	0	50
1993.05.26	1.26150	1.26480	1.25900	1.26280	1031	0	50
1993.05.27	1.26260	1.26650	1.26200	1.26510	651	0	50
1993.05.28	1.26440	1.27230	1.26350	1.27230	971	0	50
1993.05.31	1.27150	1.27330	1.26900	1.27130	841	0	50
1993.06.01	1.27090	1.27400	1.27030	1.27130	701	0	50
1993.06.02	1.27070	1.27250	1.26900	1.27190	581	0	50
1993.06.03	1.27190	1.27730	1.27100	1.27730	721	0	50
1993.06.04	1.27700	1.28030	1.27550	1.27930	731	0	50
1993.06.07	1.27880	1.28360	1.27550	1.28290	1211	0	50
1993.06.08	1.28250	1.28600	1.28200	1.28210	761	0	50
1993.06.09	1.28200	1.28550	1.27820	1.27910	1171	0	50
1993.06.10	1.27860	1.28220	1.27700	1.28140	761	0	50
1993.06.11	1.28180	1.28380	1.27800	1.28000	981	0	50
1993.06.14	1.28000	1.28330	1.27950	1.28070	691	0	50
1993.06.15	1.28080	1.28300	1.27830	1.27990	851	0	50
1993.06.16	1.27980	1.28210	1.27730	1.27830	811	0	50
1993.06.17	1.27870	1.28020	1.27550	1.27630	701	0	50
1993.06.18	1.27660	1.27900	1.27350	1.27400	841	0	50
1993.06.21	1.27340	1.27550	1.27230	1.27300	601	0	50
1993.06.22	1.27300	1.27890	1.27300	1.27780	701	0	50
1993.06.23	1.27780	1.28100	1.27750	1.28050	431	0	50
1993.06.24	1.27950	1.28400	1.27840	1.28310	761	0	50
1993.06.25	1.28300	1.28480	1.28150	1.28170	531	0	50
1993.06.28	1.28210	1.28650	1.28080	1.28190	1121	0	50
1993.06.29	1.28220	1.28400	1.27900	1.28250	971	0	50
1993.06.30	1.28200	1.28320	1.27900	1.28230	811	0	50
1993.07.01	1.28200	1.29000	1.27980	1.28720	1521	0	50
1993.07.02	1.28770	1.29020	1.28650	1.28750	721	0	50
1993.07.05	1.28710	1.28850	1.28430	1.28480	611	0	50
1993.07.06	1.28450	1.28850	1.28300	1.28410	1061	0	50
1993.07.07	1.28400	1.28580	1.28150	1.28510	751	0	50
1993.07.08	1.28420	1.28630	1.27900	1.28000	1041	0	50
1993.07.09	1.28010	1.28250	1.27630	1.27850	1081	0	50
1993.07.12	1.27800	1.28050	1.27550	1.27830	971	0	50
1993.07.13	1.27760	1.28130	1.27570	1.28130	751	0	50
1993.07.14	1.28100	1.28500	1.27850	1.28300	1101	0	50
1993.07.15	1.28220	1.28370	1.28030	1.28060	521	0	50
1993.07.16	1.28060	1.28500	1.27690	1.27790	1351	0	50
1993.07.19	1.27700	1.28100	1.27700	1.27900	601	0	50
1993.07.20	1.27830	1.28200	1.27740	1.27750	841	0	50
1993.07.21	1.27740	1.27930	1.27300	1.27600	1121	0	50
1993.07.22	1.27600	1.28170	1.27500	1.28070	871	0	50
1993.07.23	1.28070	1.28200	1.27900	1.28070	601	0	50
1993.07.26	1.28020	1.28200	1.27950	1.28070	451	0	50
1993.07.27	1.28090	1.28470	1.28000	1.28350	681	0	50
1993.07.28	1.28300	1.28500	1.28200	1.28440	461	0	50
1993.07.29	1.28570	1.28870	1.28450	1.28630	781	0	50
1993.07.30	1.28600	1.28800	1.28300	1.28610	991	0	50
1993.08.02	1.28500	1.29210	1.28300	1.28950	1371	0	50
1993.08.03	1.28950	1.29200	1.28800	1.28920	771	0	50
1993.08.04	1.28930	1.29050	1.28500	1.28830	1001	0	50
1993.08.05	1.28770	1.29340	1.28750	1.29110	841	0	50
1993.08.06	1.29130	1.29400	1.28880	1.29160	1011	0	50
1993.08.09	1.29100	1.29250	1.28900	1.29160	641	0	50
1993.08.10	1.29090	1.29360	1.28950	1.29360	551	0	50
1993.08.11	1.29310	1.30780	1.29250	1.30700	1671	0	50
1993.08.12	1.30670	1.31750	1.30550	1.31370	1701	0	50
1993.08.13	1.31350	1.31900	1.30900	1.31450	1901	0	50
1993.08.16	1.31450	1.31800	1.31050	1.31350	1401	0	50
1993.08.17	1.31300	1.31560	1.31150	1.31560	561	0	50
1993.08.18	1.31500	1.32370	1.31450	1.32330	1011	0	50
1993.08.19	1.32550	1.32650	1.31210	1.31430	1761	0	50
1993.08.20	1.31330	1.32200	1.31300	1.31800	1331	0	50
1993.08.23	1.31680	1.32390	1.31680	1.32000	1101	0	50
1993.08.24	1.31950	1.32250	1.31700	1.31890	1041	0	50
1993.08.25	1.31810	1.31900	1.31050	1.31100	991	0	50
1993.08.26	1.31130	1.31900	1.31050	1.31600	1231	0	50
1993.08.27	1.31500	1.32270	1.31470	1.32050	1051	0	50
1993.08.30	1.31830	1.32350	1.31830	1.32280	591	0	50
1993.08.31	1.32250	1.32500	1.31850	1.31960	1011	0	50
1993.09.01	1.31900	1.32800	1.31700	1.32800	1301	0	50
