<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1992.07.06	1.35740	1.37330	1.35270	1.35400	3781	0	50
1992.07.07	1.35410	1.35680	1.33880	1.34000	2191	0	50
1992.07.08	1.34000	1.35200	1.33280	1.34100	3741	0	50
1992.07.09	1.34100	1.37500	1.34050	1.36600	4401	0	50
1992.07.10	1.36450	1.37530	1.35230	1.35230	3381	0	50
1992.07.13	1.35050	1.35180	1.33000	1.33000	2311	0	50
1992.07.14	1.33000	1.35000	1.33000	1.34250	2751	0	50
1992.07.15	1.34300	1.34880	1.33400	1.34000	2661	0	50
1992.07.16	1.33990	1.34500	1.32620	1.33050	2821	0	50
1992.07.17	1.33050	1.33260	1.29770	1.30050	3981	0	50
1992.07.20	1.29860	1.32800	1.27380	1.32150	8551	0	50
1992.07.21	1.32200	1.33850	1.30800	1.32050	5951	0	50
1992.07.22	1.32100	1.32600	1.31080	1.31650	2591	0	50
1992.07.23	1.31650	1.32050	1.31290	1.31350	1221	0	50
1992.07.24	1.31400	1.33300	1.31010	1.33240	2741	0	50
1992.07.27	1.32350	1.33010	1.30950	1.30950	2721	0	50
1992.07.28	1.30950	1.31400	1.30250	1.30250	1601	0	50
1992.07.29	1.30260	1.32100	1.30150	1.31800	2361	0	50
1992.07.30	1.31700	1.33130	1.31600	1.31600	2961	0	50
1992.07.31	1.31460	1.32150	1.30750	1.31450	2791	0	50
1992.08.03	1.31390	1.32200	1.31200	1.31650	1741	0	50
1992.08.04	1.31600	1.32580	1.31600	1.32390	1171	0	50
1992.08.05	1.32390	1.33450	1.32150	1.32850	2141	0	50
1992.08.06	1.33050	1.33510	1.32530	1.32740	1651	0	50
1992.08.07	1.32750	1.33060	1.31150	1.31350	2421	0	50
1992.08.10	1.31310	1.31950	1.31290	1.31290	1301	0	50
1992.08.11	1.31290	1.32850	1.31290	1.31900	2511	0	50
1992.08.12	1.32000	1.32630	1.31870	1.31960	1481	0	50
1992.08.13	1.32000	1.32650	1.30750	1.30750	2551	0	50
1992.08.14	1.30840	1.32750	1.30840	1.32000	2661	0	50
1992.08.17	1.31940	1.33000	1.31410	1.31600	2841	0	50
1992.08.18	1.31700	1.31710	1.30550	1.30600	1221	0	50
1992.08.19	1.30600	1.31300	1.29950	1.30300	2401	0	50
1992.08.20	1.30290	1.30550	1.28700	1.28850	2261	0	50
1992.08.21	1.28850	1.29400	1.26950	1.27150	3201	0	50
1992.08.24	1.27000	1.27000	1.24080	1.24100	2941	0	50
1992.08.25	1.24100	1.25500	1.23830	1.24750	2691	0	50
1992.08.26	1.24750	1.26480	1.24750	1.25850	2361	0	50
1992.08.27	1.25850	1.27000	1.25850	1.26070	2081	0	50
1992.08.28	1.26050	1.26160	1.25420	1.26000	1431	0	50
1992.08.31	1.26000	1.26450	1.24500	1.24900	2801	0	50
1992.09.01	1.25020	1.25030	1.23600	1.23600	1441	0	50
1992.09.02	1.23590	1.24400	1.23010	1.24270	2101	0	50
1992.09.03	1.24270	1.26600	1.24150	1.26500	2671	0	50
1992.09.04	1.26550	1.28630	1.24580	1.24980	6531	0	50
1992.09.07	1.25100	1.25400	1.24850	1.25100	1101	0	50
1992.09.08	1.25100	1.25100	1.23100	1.23400	2301	0	50
1992.09.09	1.23350	1.25400	1.23350	1.25350	2101	0	50
1992.09.10	1.25300	1.26800	1.24300	1.26650	3651	0	50
1992.09.11	1.26650	1.29200	1.26650	1.29100	2651	0	50
1992.09.14	1.28940	1.33030	1.28940	1.31200	5921	0	50
1992.09.15	1.31200	1.32100	1.29620	1.32100	4061	0	50
1992.09.16	1.32100	1.32550	1.29850	1.32000	5301	0	50
1992.09.17	1.31850	1.32550	1.28450	1.28450	4801	0	50
1992.09.18	1.28600	1.30850	1.28600	1.30700	2401	0	50
1992.09.21	1.29460	1.31780	1.28900	1.30000	5221	0	50
1992.09.22	1.30000	1.30750	1.28480	1.30750	3791	0	50
1992.09.23	1.30750	1.31760	1.30400	1.30550	2521	0	50
1992.09.24	1.30560	1.31800	1.29480	1.30350	4431	0	50
1992.09.25	1.30400	1.30500	1.29280	1.29450	1491	0	50
1992.09.28	1.28950	1.29050	1.26500	1.27050	3201	0	50
1992.09.29	1.27050	1.27500	1.22650	1.22720	5371	0	50
1992.09.30	1.22720	1.24200	1.21820	1.23500	3981	0	50
1992.10.01	1.23500	1.24830	1.22950	1.24370	2891	0	50
1992.10.02	1.24250	1.26000	1.23000	1.23150	4901	0	50
1992.10.05	1.23300	1.24050	1.21050	1.23950	5351	0	50
1992.10.06	1.23950	1.25080	1.23510	1.24850	2241	0	50
1992.10.07	1.24850	1.27400	1.24380	1.27300	3591	0	50
1992.10.08	1.27330	1.31700	1.27330	1.31350	4721	0	50
1992.10.09	1.31500	1.32500	1.30260	1.31550	4431	0	50
1992.10.12	1.31690	1.31750	1.29200	1.31000	4411	0	50
1992.10.13	1.31000	1.32850	1.30400	1.30400	4301	0	50
1992.10.14	1.30400	1.31280	1.29650	1.30400	3261	0	50
1992.10.15	1.29980	1.30400	1.28620	1.30220	3321	0	50
1992.10.16	1.30200	1.32350	1.30080	1.32180	2561	0	50
1992.10.19	1.32680	1.34600	1.31600	1.34600	4081	0	50
1992.10.20	1.34520	1.36800	1.34140	1.35650	4191	0	50
1992.10.21	1.35670	1.36060	1.34400	1.36040	2951	0	50
1992.10.22	1.36060	1.36150	1.34380	1.34580	2061	0	50
1992.10.23	1.34560	1.37320	1.33410	1.36350	6031	0	50
1992.10.26	1.36470	1.37750	1.35790	1.36430	3881	0	50
1992.10.27	1.36350	1.37820	1.35820	1.35930	3581	0	50
1992.10.28	1.35930	1.38050	1.35530	1.37380	3591	0	50
1992.10.29	1.37200	1.37910	1.36650	1.37240	2481	0	50
1992.10.30	1.37240	1.37800	1.36710	1.37570	1851	0	50
1992.11.02	1.37550	1.40100	1.37400	1.39500	3451	0	50
1992.11.03	1.39650	1.40880	1.38800	1.39850	3961	0	50
1992.11.04	1.39800	1.40900	1.38200	1.40200	5001	0	50
1992.11.05	1.40250	1.42100	1.39930	1.41870	2721	0	50
1992.11.06	1.41870	1.43620	1.41600	1.43480	2431	0	50
1992.11.09	1.43500	1.43950	1.42050	1.43850	3451	0	50
1992.11.10	1.43850	1.44350	1.42850	1.42850	2001	0	50
1992.11.11	1.43200	1.43950	1.42480	1.42970	2711	0	50
1992.11.12	1.42900	1.43660	1.42500	1.42800	2221	0	50
1992.11.13	1.42720	1.42840	1.41150	1.41800	2461	0	50
1992.11.16	1.42040	1.44120	1.41930	1.43800	2621	0	50
1992.11.17	1.43760	1.45850	1.43750	1.44700	3261	0	50
1992.11.18	1.44740	1.45670	1.44400	1.44400	2201	0	50
1992.11.19	1.44680	1.44690	1.41670	1.41680	3041	0	50
1992.11.20	1.41860	1.45100	1.40350	1.44600	6761	0	50
1992.11.23	1.44900	1.45830	1.43000	1.43400	4161	0	50
1992.11.24	1.43350	1.44730	1.42870	1.42900	3271	0	50
1992.11.25	1.42800	1.43700	1.42380	1.42740	2581	0	50
1992.11.26	1.42680	1.43650	1.42670	1.43250	1391	0	50
1992.11.27	1.43300	1.45130	1.43280	1.44000	3001	0	50
1992.11.30	1.43850	1.45180	1.43300	1.43300	3211	0	50
1992.12.01	1.43350	1.43700	1.40000	1.40350	4401	0	50
1992.12.02	1.40450	1.41670	1.39120	1.39750	4401	0	50
1992.12.03	1.39600	1.41550	1.39600	1.41150	2351	0	50
1992.12.04	1.41200	1.43470	1.40780	1.42800	3781	0	50
1992.12.07	1.44300	1.44930	1.39250	1.39300	6361	0	50
1992.12.08	1.39320	1.40480	1.38400	1.39900	3581	0	50
1992.12.09	1.39900	1.41600	1.39890	1.41100	2221	0	50
1992.12.10	1.41100	1.41760	1.39900	1.40850	3471	0	50
1992.12.11	1.40850	1.41300	1.40400	1.40800	1751	0	50
1992.12.14	1.41000	1.41580	1.40550	1.40750	1811	0	50
1992.12.15	1.40750	1.41380	1.40500	1.40950	1561	0	50
1992.12.16	1.41000	1.41250	1.39400	1.39850	2551	0	50
1992.12.17	1.39840	1.40250	1.38480	1.39900	3481	0	50
1992.12.18	1.39950	1.41700	1.39880	1.40750	2841	0	50
1992.12.21	1.40730	1.41650	1.40500	1.41250	1781	0	50
1992.12.22	1.41250	1.44450	1.41250	1.44000	3651	0	50
1992.12.23	1.44000	1.44550	1.43250	1.44350	2251	0	50
1992.12.24	1.44400	1.44900	1.43690	1.44900	1921	0	50
1992.12.25	1.44900	1.44900	1.44230	1.44300	741	0	50
1992.12.28	1.44500	1.47220	1.44480	1.46650	3331	0	50
1992.12.29	1.46650	1.47160	1.45900	1.46400	2271	0	50
1992.12.30	1.46400	1.46550	1.45730	1.46400	1641	0	50
1992.12.31	1.46400	1.46780	1.45360	1.46650	2591	0	50
1993.01.04	1.46600	1.48200	1.46600	1.47900	1901	0	50
1993.01.05	1.47910	1.48650	1.46950	1.47100	2591	0	50
1993.01.06	1.47150	1.49350	1.46800	1.48850	3401	0	50
1993.01.07	1.49100	1.49710	1.48490	1.49470	2071	0	50
1993.01.08	1.49440	1.50750	1.49150	1.50000	2641	0	50
1993.01.11	1.48980	1.49460	1.48330	1.49000	2241	0	50
1993.01.12	1.49050	1.50070	1.48600	1.49850	2141	0	50
1993.01.13	1.49820	1.50330	1.48330	1.48350	2531	0	50
1993.01.14	1.48300	1.48850	1.47650	1.48350	2351	0	50
1993.01.15	1.48350	1.49820	1.48350	1.49650	1641	0	50
1993.01.18	1.49650	1.49800	1.47600	1.47650	2401	0	50
1993.01.19	1.47670	1.48520	1.46820	1.47400	3131	0	50
1993.01.20	1.47400	1.47420	1.46480	1.46700	1181	0	50
1993.01.21	1.46700	1.48450	1.46620	1.48000	2361	0	50
1993.01.22	1.47900	1.48030	1.45550	1.45800	2861	0	50
1993.01.25	1.45800	1.46150	1.44100	1.44600	2901	0	50
1993.01.26	1.44600	1.45560	1.44000	1.45150	2571	0	50
1993.01.27	1.45230	1.46650	1.45230	1.46300	1771	0	50
1993.01.28	1.46300	1.46500	1.44540	1.46050	3671	0	50
1993.01.29	1.46200	1.48980	1.45700	1.48750	4011	0	50
1993.02.01	1.48670	1.52000	1.48550	1.51750	3821	0	50
