<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1992.07.06	124.900	125.100	124.100	124.240	1341	0	50
1992.07.07	124.230	124.700	123.750	124.050	1721	0	50
1992.07.08	124.060	124.980	123.830	124.700	1661	0	50
1992.07.09	124.700	125.850	124.430	125.550	1991	0	50
1992.07.10	125.530	125.850	125.100	125.100	1071	0	50
1992.07.13	125.030	125.360	124.750	124.800	991	0	50
1992.07.14	124.800	125.300	124.550	125.160	1141	0	50
1992.07.15	125.170	125.470	124.980	125.120	931	0	50
1992.07.16	125.120	125.600	124.750	125.330	1491	0	50
1992.07.17	125.300	125.460	124.350	124.350	1271	0	50
1992.07.20	124.350	125.450	124.090	124.430	2641	0	50
1992.07.21	124.400	125.800	124.400	125.100	2101	0	50
1992.07.22	125.110	127.200	125.110	126.590	2701	0	50
1992.07.23	126.600	126.950	126.300	126.670	1231	0	50
1992.07.24	126.610	128.150	126.540	128.100	1731	0	50
1992.07.27	127.950	128.370	127.350	127.430	1521	0	50
1992.07.28	127.430	127.850	127.230	127.400	1211	0	50
1992.07.29	127.400	127.950	127.300	127.810	891	0	50
1992.07.30	127.800	127.900	127.400	127.400	601	0	50
1992.07.31	127.400	127.690	127.050	127.100	981	0	50
1992.08.03	127.190	127.370	127.070	127.100	511	0	50
1992.08.04	127.160	127.330	127.150	127.250	271	0	50
1992.08.05	127.250	127.660	127.230	127.590	521	0	50
1992.08.06	127.600	127.800	127.480	127.590	631	0	50
1992.08.07	127.610	128.000	127.450	127.450	941	0	50
1992.08.10	127.470	128.170	127.470	127.890	981	0	50
1992.08.11	127.990	128.110	127.680	127.930	801	0	50
1992.08.12	127.900	127.980	127.220	127.220	841	0	50
1992.08.13	127.220	127.460	126.420	126.420	1281	0	50
1992.08.14	127.410	127.420	125.950	125.950	1481	0	50
1992.08.17	126.100	126.450	125.600	125.750	1351	0	50
1992.08.18	125.790	126.410	125.700	126.150	1061	0	50
1992.08.19	126.160	126.650	126.160	126.600	541	0	50
1992.08.20	126.600	126.630	126.180	126.480	781	0	50
1992.08.21	126.470	126.540	125.650	125.650	961	0	50
1992.08.24	125.550	125.560	124.380	124.600	1411	0	50
1992.08.25	124.500	125.030	124.480	124.550	1051	0	50
1992.08.26	124.540	125.100	124.540	125.100	561	0	50
1992.08.27	125.100	125.330	124.690	124.760	941	0	50
1992.08.28	124.730	124.880	123.010	123.010	2021	0	50
1992.08.31	122.870	123.450	122.700	123.140	1231	0	50
1992.09.01	123.100	123.300	122.600	122.600	901	0	50
1992.09.02	122.590	123.200	122.250	123.100	1391	0	50
1992.09.03	123.210	124.400	122.950	123.900	2211	0	50
1992.09.04	123.900	124.710	123.040	123.050	2491	0	50
1992.09.07	123.050	123.600	123.050	123.510	641	0	50
1992.09.08	123.530	123.670	122.600	122.800	1411	0	50
1992.09.09	122.800	123.250	122.530	123.200	1041	0	50
1992.09.10	123.200	123.650	122.800	123.650	1251	0	50
1992.09.11	123.650	124.400	123.370	124.250	1461	0	50
1992.09.14	124.730	125.150	124.050	124.100	1571	0	50
1992.09.15	124.160	124.400	123.650	124.350	1311	0	50
1992.09.16	124.350	125.620	124.130	125.050	2281	0	50
1992.09.17	125.050	125.200	124.250	124.250	1101	0	50
1992.09.18	124.250	124.800	124.250	124.400	951	0	50
1992.09.21	124.400	124.400	123.610	123.610	791	0	50
1992.09.22	123.600	123.710	120.800	121.000	3221	0	50
1992.09.23	121.000	122.000	119.650	120.110	3811	0	50
1992.09.24	120.100	121.050	119.860	120.450	2031	0	50
1992.09.25	120.450	121.150	120.100	120.850	1701	0	50
1992.09.28	120.600	120.600	119.140	119.570	1891	0	50
1992.09.29	119.570	119.800	119.160	119.230	941	0	50
1992.09.30	119.200	120.250	118.650	119.800	2601	0	50
1992.10.01	119.800	120.650	119.620	119.620	1881	0	50
1992.10.02	119.600	120.300	119.250	119.330	1831	0	50
1992.10.05	119.100	120.000	118.880	119.850	1491	0	50
1992.10.06	119.850	119.990	119.460	119.600	811	0	50
1992.10.07	119.600	120.470	119.440	120.400	1261	0	50
1992.10.08	120.400	122.150	120.310	121.850	2231	0	50
1992.10.09	121.850	122.050	121.380	121.900	1291	0	50
1992.10.12	121.500	121.600	120.580	120.900	1441	0	50
1992.10.13	120.850	121.880	120.730	121.080	2071	0	50
1992.10.14	121.080	121.360	120.850	121.000	941	0	50
1992.10.15	120.950	121.000	120.180	120.390	1081	0	50
1992.10.16	120.350	120.970	119.370	119.400	2251	0	50
1992.10.19	119.480	120.660	119.480	120.660	1181	0	50
1992.10.20	120.600	122.600	120.490	122.490	2331	0	50
1992.10.21	122.490	122.930	121.630	122.610	2481	0	50
1992.10.22	122.600	122.620	120.400	120.700	2541	0	50
1992.10.23	120.700	122.200	120.200	121.650	3051	0	50
1992.10.26	121.680	122.630	121.420	122.000	2101	0	50
1992.10.27	122.010	122.660	121.850	122.100	1531	0	50
1992.10.28	122.100	123.500	121.700	123.000	2701	0	50
1992.10.29	122.950	123.400	122.750	123.160	1091	0	50
1992.10.30	123.100	123.700	122.980	123.330	1211	0	50
1992.11.02	123.350	123.960	123.300	123.540	1131	0	50
1992.11.03	123.450	123.940	121.880	122.250	2921	0	50
1992.11.04	122.300	123.350	122.090	123.050	1771	0	50
1992.11.05	123.000	123.280	122.500	122.800	1361	0	50
1992.11.06	122.800	123.500	122.680	123.470	971	0	50
1992.11.09	123.410	124.300	123.400	124.220	991	0	50
1992.11.10	124.200	124.570	124.020	124.020	921	0	50
1992.11.11	124.130	124.250	123.710	123.820	771	0	50
1992.11.12	123.900	124.200	123.730	123.900	941	0	50
1992.11.13	123.900	124.120	123.500	124.050	1091	0	50
1992.11.16	124.150	124.950	124.100	124.690	1161	0	50
1992.11.17	124.730	124.860	124.300	124.360	751	0	50
1992.11.18	124.350	124.430	123.550	123.600	1011	0	50
1992.11.19	123.610	123.880	123.300	123.300	851	0	50
1992.11.20	123.400	124.550	123.300	124.300	1601	0	50
1992.11.23	124.280	124.450	123.970	123.970	651	0	50
1992.11.24	124.040	124.270	123.750	123.750	751	0	50
1992.11.25	123.800	124.180	123.570	123.670	1091	0	50
1992.11.26	123.680	124.160	123.680	124.010	631	0	50
1992.11.27	124.050	124.500	124.010	124.350	681	0	50
1992.11.30	124.340	125.060	124.320	124.600	1221	0	50
1992.12.01	124.650	124.830	124.120	124.130	901	0	50
1992.12.02	124.150	124.550	124.080	124.430	661	0	50
1992.12.03	124.560	124.590	124.550	124.550	71	0	50
1992.12.04	124.560	124.950	124.450	124.900	661	0	50
1992.12.07	124.880	125.060	123.250	123.800	2541	0	50
1992.12.08	123.810	124.150	123.590	123.850	1081	0	50
1992.12.09	123.830	124.130	123.740	124.070	541	0	50
1992.12.10	124.010	124.430	123.350	123.600	1751	0	50
1992.12.11	123.550	124.150	123.480	123.900	991	0	50
1992.12.14	123.620	123.670	123.600	123.600	121	0	50
1992.12.15	123.620	124.100	123.620	123.950	631	0	50
